Rank,Address,Name Tag,Balance,Percentage,Txn Count
1,0x00000000219ab540356cbb839cbe05303d7705fa,Eth2 Deposit Contract,"13,170,629.000069 Ether",10.98822335%,209885
2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,"4,292,271.99490362 Ether",3.58103196%,8999160
3,0xda9dfa130df4de4673b89022ee50ff26f6ea73cf,Kraken 13,"2,113,030.00445455 Ether",1.76289573%,68
4,0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,Binance 7,"1,996,008.27992735 Ether",1.66526479%,1098
7,0x742d35cc6634c0532925a3b844bc454e4438f44e,Bitfinex 2,"1,341,122.36792507 Ether",1.11889509%,17185
8,0xf977814e90da44bfa03b6295a0616a897441acec,Binance 8,"991,303.73565884 Ether",0.82704227%,8764
9,0x07ee55aa48bb72dcc6e9d78256648910de513eca,Gemini: Contract 1,"685,495.27049071 Ether",0.57190702%,1270
10,0x011b6e24ffb0b5f5fcc564cf4183c5bbbc96d515,Arbitrum: Bridge,"681,646.62990881 Ether",0.56869611%,50
11,0x28c6c06298d514db089934071355e5743bf21d60,Binance 14,"549,921.16082716 Ether",0.45879787%,8021940
12,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,Compound: cETH Token,"527,741.62595537 Ether",0.44029354%,285814
13,0x61edcdf5bb737adffe5043706e7c5bb1f1a56eea,Gemini 3,"479,498.95358134 Ether",0.40004480%,351
14,0xa7efae728d2936e78bda97dc267687568dd593f3,OKEx 3,"450,798.69146404 Ether",0.37610024%,1576358
16,0x8484ef722627bf18ca5ae6bcf031c23e6e922b30,Polygon (Matic): Ether Bridge,"354,110.21703857 Ether",0.29543328%,67
18,0xde0b295669a9fd93d5f28d9ec85e40f4cb697bae,EthDev,"343,270.35590318 Ether",0.28638961%,944
19,0xdf9eb223bafbe5c5271415c75aecd68c21fe3d7f,Liquity: Active Pool,"334,379.09706975 Ether",0.27897166%,55
21,0x3bfc20f0b9afcace800d73d2191166ff16540258,Polkadot: MultiSig,"306,276.63536139 Ether",0.25552584%,171
22,0x0548f59fee79f8832c299e01dca5c76f034f558e,OTC: 0x054...58e,"301,243.06938278 Ether",0.25132635%,10357
23,0x220866b1a2219f40e72f5c628b65d54268ca3a9d,Vb 3,"290,000.92186839 Ether",0.24194706%,82
24,0xc098b2a3aa256d2140208c3de6543aaef5cd3a94,FTX Exchange 2,"275,652.03902603 Ether",0.22997582%,3364884
26,0xa929022c9107643515f5c777ce9a910f0d1e490c,HECO Chain: Bridge,"274,636.85967248 Ether",0.22912886%,21764
36,0x78605df79524164911c144801f41e9811b7db73d,BitDAO: Treasury,"246,297.98847312 Ether",0.20548581%,55
40,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,Lido: Curve Liquidity Farming Pool Contract,"219,424.16715206 Ether",0.18306504%,43856
41,0x59448fe20378357f206880c58068f095ae63d5a5,Bitfinex 9,"215,368.75591044 Ether",0.17968162%,28
42,0x25eaff5b179f209cf186b1cdcbfa463a69df4c45,Blockfolio,"211,305.44547749 Ether",0.17629161%,259770
44,0xa160cdab225685da1d56aa342ad8841c3b53f291,Tornado.Cash: 100 ETH,"200,900 Ether",0.16761038%,8385
45,0x558553d54183a8542f7832742e7b4ba9c33aa1e6,Bithumb 12,"200,001.664584 Ether",0.16686090%,50
46,0x98ec059dc3adfbdd63429454aeb0c990fba4a128,OKEx 6,"200,000.10705597 Ether",0.16685960%,39
50,0x66f820a414680b5bcda5eeca5dea238543f42054,Bittrex 3,"188,508.62367176 Ether",0.15727228%,185
52,0x36a85757645e8e8aec062a1dee289c7d615901ca,Bitfinex 10,"177,328.30765968 Ether",0.14794457%,26
63,0x6262998ced04146fa42253a5c0af90ca02dfd2a3,Crypto.com,"167,235.92756088 Ether",0.13952452%,779466
64,0x7da82c7ab4771ff031b66538d2fb9b0b047f6cf9,Golem: Multisig,"165,034.34311324 Ether",0.13768775%,493
90,0xd69b0089d9ca950640f5dc9931a41a5965f00303,Gemini 7,"144,461.57638037 Ether",0.12052394%,104
92,0xd6216fc19db775df9774a6e33526131da7d19a2c,KuCoin 6,"142,805.99254171 Ether",0.11914269%,6493
102,0x4c766def136f59f6494f0969b1355882080cf8e0,Bitstamp 5,"126,717.48057762 Ether",0.10572008%,33
103,0xdcd0272462140d0a3ced6c4bf970c7641f08cd2c,Bitfinex 4,"123,587.69025187 Ether",0.10310891%,10
105,0x0d0707963952f2fba59dd06f2b425ace40b492fe,Gate.io,"121,292.78716985 Ether",0.10119427%,5330492
113,0x99c9fc46f92e8a1c0dec1b1747d010903e884be1,Optimism: Gateway,"115,899.28503023 Ether",0.09669449%,209390
115,0x376c3e5547c68bc26240d8dcc6729fff665a4448,Iconomi: MultiSig 1,"114,939.00001 Ether",0.09589332%,62
117,0x1b8766d041567eed306940c587e21c06ab968663,Bitfinex 14,"111,377.3141615 Ether",0.09292182%,3
120,0x5a710a3cdf2af218740384c52a10852d8870626a,Bitfinex 15,"107,141.16775261 Ether",0.08938761%,26
