Rank,Address,Name Tag,Balance,Percentage,Txn Count
5,0x0716a17fbaee714f1e6ab0f9d59edbc5f09815c0,,"1,950,476.62187696 Ether",1.62727784%,24
6,0x9bf4001d307dfd62b26a2f1307ee0c0307632d59,,"1,490,000.0181027 Ether",1.24310335%,105
15,0xe92d1a43df510f82c66382592a047d288f85226f,,"450,000.05009572 Ether",0.37543393%,82
17,0x1b3cb81e51011b549d78bf720b0d924ac763a7c2,,"347,300.004135 Ether",0.28975154%,193
20,0xca8fa8f0b631ecdb18cda619c4fc9d197c8affca,,"325,000.48164854 Ether",0.27114710%,75
25,0x8103683202aa8da10536036edef04cdd865c225e,,"275,000.02742999 Ether",0.22943185%,33
27,0xb29380ffc20696729b7ab8d093fa1e2ec14dfe2b,,"270,721.74558067 Ether",0.22586249%,20202
28,0x0a4c79ce84202b03e95b7a692e5d728d83c44c76,,"254,248.45401794 Ether",0.21211886%,38
29,0x5f0cc098cfef729a0c1072268945d1a5fd57b45d,,"250,000.04974609 Ether",0.20857443%,5
30,0x6eb6052e8f14fdc19d0a5d697b26d2ffb88345c6,,"250,000.048278 Ether",0.20857442%,3
31,0x2b6ed29a95753c3ad948348e3e7b1a251080ffb9,,"250,000.01705597 Ether",0.20857440%,39
32,0x9acb5ce4878144a74eeededa54c675aa59e0d3d2,,"247,980.4809452 Ether",0.20688950%,8
33,0xb9711550ec6dc977f26b73809a2d6791c0f0e9c8,,"247,902.71254665 Ether",0.20682462%,74
34,0x176f3dab24a159341c0509bb36b833e7fdd0a132,,"247,646.55654873 Ether",0.20661091%,121
35,0x189b9cbd4aff470af2c0102f365fc1823d857965,,"247,259.05500914 Ether",0.20628762%,1420
37,0x9845e1909dca337944a0272f1f9f7249833d2d19,,"240,001.20478349 Ether",0.20023241%,34
38,0x7b0419581eb2e34b4d3bfc1689f1bd855d364d9d,,"231,927.78796174 Ether",0.19349678%,3
39,0xcb9225bb407bc585ffbb863dc924aad07c97af2c,,"230,000 Ether",0.19188843%,120
43,0xbddf00563c9abd25b576017f08c46982012f12be,,"210,938.187217 Ether",0.17598521%,304
47,0x0c23fc0ef06716d2f8ba19bc4bed56d045581f2d,,"200,000 Ether",0.16685951%,44
48,0xcdbf58a9a9b54a2c43800c50c7192946de858321,,"193,799.07497 Ether",0.16168609%,72
49,0x475a311edfd2d2a583fcba043d543917a94b85a0,,"190,000.1 Ether",0.15851662%,2
51,0xbf3aeb96e164ae67e763d9e050ff124e7c3fdd28,,"187,068.1956 Ether",0.15607054%,33
53,0x550cd530bc893fc6d2b4df6bea587f17142ab64e,,"176,818.52352084 Ether",0.14751926%,7
54,0x1db92e2eebc8e0c075a02bea49a2935bcd2dfcf4,,"173,392.95634821 Ether",0.14466132%,132447
55,0xdc1487e092caba080c6badafaa75a58ce7a2ec34,,"172,971.38401292 Ether",0.14430960%,241
56,0x9cf36e93a8e2b1eaaa779d9965f46c90b820048c,,"172,592.06179937 Ether",0.14399313%,11
57,0xa7e4fecddc20d83f36971b67e13f1abc98dfcfa6,,"172,038.06720675 Ether",0.14353094%,82
58,0xa0efb63be0db8fc11681a598bf351a42a6ff50e0,,"169,861.72849572 Ether",0.14171522%,7
59,0x8b83b9c4683aa4ec897c569010f09c6d04608163,,"169,861.72849572 Ether",0.14171522%,7
60,0x5b5b69f4e0add2df5d2176d7dbd20b4897bc7ec4,,"169,031.99351958 Ether",0.14102298%,45
61,0x4756eeebf378046f8dd3cb6fa908d93bfd45f139,,"167,720.90830506 Ether",0.13992914%,16
62,0x554f4476825293d4ad20e02b54aca13956acc40a,,"167,628.98641908 Ether",0.13985245%,11
65,0xa8dcc0373822b94d7f57326be24ca67bafcaad6b,,"159,723.38178711 Ether",0.13325682%,12
66,0xfd898a0f677e97a9031654fc79a27cb5e31da34a,,"150,000.1 Ether",0.12514471%,30
67,0xb8cda067fabedd1bb6c11c626862d7255a2414fe,,"150,000.0012345 Ether",0.12514463%,5
68,0x701c484bfb40ac628afa487b6082f084b14af0bd,,"150,000.001069 Ether",0.12514463%,32
69,0x4b4a011c420b91260a272afd91e54accdafdfc1d,,"150,000.001 Ether",0.12514463%,6
70,0xc4cf565a5d25ee2803c9b8e91fc3d7c62e79fe69,,"150,000.0006789 Ether",0.12514463%,5
71,0xd05e6bf1a00b5b4c9df909309f19e29af792422b,,"150,000.000051 Ether",0.12514463%,5
72,0x19d599012788b991ff542f31208bab21ea38403e,,"150,000.000015 Ether",0.12514463%,5
73,0x9c2fc4fc75fa2d7eb5ba9147fa7430756654faa9,,"150,000 Ether",0.12514463%,7
74,0xb20411c403687d1036e05c8a7310a0f218429503,,"150,000 Ether",0.12514463%,4
75,0x9a1ed80ebc9936cee2d3db944ee6bd8d407e7f9f,,"150,000 Ether",0.12514463%,37
76,0xb9fa6e54025b4f0829d8e1b42e8b846914659632,,"150,000 Ether",0.12514463%,4
