Rank,Address,Name Tag,Balance,Percentage,Txn Count
1,0x00000000219ab540356cbb839cbe05303d7705fa,Eth2 Deposit Contract,"13,170,549.000069 Ether",10.98835551%,209882
2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,"4,277,770.66721275 Ether",3.56899814%,8996540
3,0xda9dfa130df4de4673b89022ee50ff26f6ea73cf,Kraken 13,"2,113,030.00445455 Ether",1.76292764%,68
4,0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,Binance 7,"1,996,008.27992735 Ether",1.66529494%,1098
5,0x0716a17fbaee714f1e6ab0f9d59edbc5f09815c0,,"1,950,476.62187696 Ether",1.62730730%,24
6,0x9bf4001d307dfd62b26a2f1307ee0c0307632d59,,"1,490,000.0181027 Ether",1.24312585%,105
7,0x742d35cc6634c0532925a3b844bc454e4438f44e,Bitfinex 2,"1,341,122.36792507 Ether",1.11891534%,17185
8,0xf977814e90da44bfa03b6295a0616a897441acec,Binance 8,"991,303.73565884 Ether",0.82705724%,8764
9,0x07ee55aa48bb72dcc6e9d78256648910de513eca,Gemini: Contract 1,"685,495.27049071 Ether",0.57191737%,1270
10,0x011b6e24ffb0b5f5fcc564cf4183c5bbbc96d515,Arbitrum: Bridge,"681,442.02879503 Ether",0.56853570%,50
11,0x28c6c06298d514db089934071355e5743bf21d60,Binance 14,"542,471.91781456 Ether",0.45259118%,8020118
12,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,Compound: cETH Token,"527,069.60923579 Ether",0.43974084%,285789
13,0x61edcdf5bb737adffe5043706e7c5bb1f1a56eea,Gemini 3,"479,498.95358134 Ether",0.40005204%,351
14,0xa7efae728d2936e78bda97dc267687568dd593f3,OKEx 3,"452,338.95390375 Ether",0.37739211%,1576112
15,0xe92d1a43df510f82c66382592a047d288f85226f,,"450,000.05009572 Ether",0.37544073%,82
16,0x8484ef722627bf18ca5ae6bcf031c23e6e922b30,Polygon (Matic): Ether Bridge,"354,862.78920905 Ether",0.29606651%,67
17,0x1b3cb81e51011b549d78bf720b0d924ac763a7c2,,"347,300.004135 Ether",0.28975678%,193
18,0xde0b295669a9fd93d5f28d9ec85e40f4cb697bae,EthDev,"343,270.35590318 Ether",0.28639480%,944
19,0xdf9eb223bafbe5c5271415c75aecd68c21fe3d7f,Liquity: Active Pool,"333,972.81416532 Ether",0.27863774%,55
20,0xca8fa8f0b631ecdb18cda619c4fc9d197c8affca,,"325,000.48164854 Ether",0.27115201%,75
21,0x3bfc20f0b9afcace800d73d2191166ff16540258,Polkadot: MultiSig,"306,276.63536139 Ether",0.25553047%,171
22,0x0548f59fee79f8832c299e01dca5c76f034f558e,OTC: 0x054...58e,"301,073.96215209 Ether",0.25118981%,10356
23,0x220866b1a2219f40e72f5c628b65d54268ca3a9d,Vb 3,"290,000.92186839 Ether",0.24195143%,82
24,0xc098b2a3aa256d2140208c3de6543aaef5cd3a94,FTX Exchange 2,"284,526.1973693 Ether",0.23738380%,3363572
25,0x8103683202aa8da10536036edef04cdd865c225e,,"275,000.02742999 Ether",0.22943600%,33
26,0xa929022c9107643515f5c777ce9a910f0d1e490c,HECO Chain: Bridge,"274,636.85967248 Ether",0.22913300%,21762
27,0xb29380ffc20696729b7ab8d093fa1e2ec14dfe2b,,"270,721.74558067 Ether",0.22586657%,20202
