from_address,tag,tag
0x024bcbcaad82e67f721799e259ca60bc7d363419,Ygov.finance: YFI Token,7
0x024bcbcaad82e67f721799e259ca60bc7d363419,Curve.fi: CRV Token,5
0x024bcbcaad82e67f721799e259ca60bc7d363419,ENS: ENS Token,2
0x024bcbcaad82e67f721799e259ca60bc7d363419,Aave: AAVE Token,1
0x024bcbcaad82e67f721799e259ca60bc7d363419,Compound: Comptroller,1
0x024bcbcaad82e67f721799e259ca60bc7d363419,SushiSwap: SUSHI Token,1
0x024bcbcaad82e67f721799e259ca60bc7d363419,Synthetix: Proxy SNX Token,1
0x0b30483057d6a7798378edba707d625116ed7640,Ygov.finance: YFI Token,4
0x0b30483057d6a7798378edba707d625116ed7640,SushiSwap: SUSHI Token,1
0x0c5a2c72c009252f0e7312f5a1ab87de02be6fbe,Compound: Comptroller,4
0x0c5a2c72c009252f0e7312f5a1ab87de02be6fbe,Ygov.finance: YFI Token,4
0x0c5a2c72c009252f0e7312f5a1ab87de02be6fbe,Curve.fi: CRV Token,3
0x0c5a2c72c009252f0e7312f5a1ab87de02be6fbe,Aave: AAVE Token,1
0x0c5a2c72c009252f0e7312f5a1ab87de02be6fbe,SushiSwap: SUSHI Token,1
0x0c5a2c72c009252f0e7312f5a1ab87de02be6fbe,UMA: UMA Token,1
0x10b26700b0a2d3f5ef12fa250aba818ee3b43bf4,Compound: Comptroller,3
0x10b26700b0a2d3f5ef12fa250aba818ee3b43bf4,Ygov.finance: YFI Token,2
0x10b26700b0a2d3f5ef12fa250aba818ee3b43bf4,Curve.fi: CRV Token,1
0x10b26700b0a2d3f5ef12fa250aba818ee3b43bf4,Loopring: LRC Token,1
0x187e3534f461d7c59a7d6899a983a5305b48f93f,Balancer: BAL Token,3
0x187e3534f461d7c59a7d6899a983a5305b48f93f,Decentraland: MANA Token,3
0x187e3534f461d7c59a7d6899a983a5305b48f93f,Abracadabra.money: SPELL Token,2
0x187e3534f461d7c59a7d6899a983a5305b48f93f,Convex Finance: CVX Token,1
