,from_address,to_address,block_timestamp,value_ether,count,tag,listing_date,date_before_listing,date_between_listing,key
7685,0x70cd5f374f496b299e7b3164eba4b32568a5cb79,0x0d8775f648430679a709e98d2b0cb6250d2887ef,2019-03-02,0.0,278,Basic Attention: BAT Token,2019-03-04,False,True,0x70cd5f374f496b299e7b3164eba4b32568a5cb79-Basic Attention: BAT Token
1184706,0xa205fd7344656c72fdc645b72faf5a3de0b3e825,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,2022-06-15,0.0,311,Wrapped BTC: WBTC Token,2022-06-24,False,True,0xa205fd7344656c72fdc645b72faf5a3de0b3e825-Wrapped BTC: WBTC Token
1184708,0xa205fd7344656c72fdc645b72faf5a3de0b3e825,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,2022-06-15,0.0,311,Wrapped BTC: WBTC Token,2022-06-24,False,True,0xa205fd7344656c72fdc645b72faf5a3de0b3e825-Wrapped BTC: WBTC Token
1184908,0xa205fd7344656c72fdc645b72faf5a3de0b3e825,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,2022-06-15,0.0,311,Wrapped BTC: WBTC Token,2022-06-24,False,True,0xa205fd7344656c72fdc645b72faf5a3de0b3e825-Wrapped BTC: WBTC Token
1185748,0x3b69035f18e923ad2144f775a6156931f9b15d2d,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,2022-06-21,0.0,311,Wrapped BTC: WBTC Token,2022-06-24,False,True,0x3b69035f18e923ad2144f775a6156931f9b15d2d-Wrapped BTC: WBTC Token
1186029,0xa205fd7344656c72fdc645b72faf5a3de0b3e825,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,2022-06-13,0.0,311,Wrapped BTC: WBTC Token,2022-06-24,False,True,0xa205fd7344656c72fdc645b72faf5a3de0b3e825-Wrapped BTC: WBTC Token
1186273,0x61a6b1eda7e514d4d6259aa11fd227118386ed84,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,2022-06-13,0.0,311,Wrapped BTC: WBTC Token,2022-06-24,False,True,0x61a6b1eda7e514d4d6259aa11fd227118386ed84-Wrapped BTC: WBTC Token
1186472,0xa205fd7344656c72fdc645b72faf5a3de0b3e825,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,2022-06-15,0.0,311,Wrapped BTC: WBTC Token,2022-06-24,False,True,0xa205fd7344656c72fdc645b72faf5a3de0b3e825-Wrapped BTC: WBTC Token
1186774,0x21a4c28cda2e0bcce176bbd6e32d51bbfe87c596,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,2022-06-01,0.0,311,Wrapped BTC: WBTC Token,2022-06-24,False,True,0x21a4c28cda2e0bcce176bbd6e32d51bbfe87c596-Wrapped BTC: WBTC Token
1187083,0x8ff9c1e5b2b117267c41e1f4e3f75e7176c436c3,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,2022-06-23,0.0,311,Wrapped BTC: WBTC Token,2022-06-24,False,True,0x8ff9c1e5b2b117267c41e1f4e3f75e7176c436c3-Wrapped BTC: WBTC Token
1187716,0xca9a7d57239d04b3b43edaad246c00507b7cdbd5,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,2022-06-12,0.0,311,Wrapped BTC: WBTC Token,2022-06-24,False,True,0xca9a7d57239d04b3b43edaad246c00507b7cdbd5-Wrapped BTC: WBTC Token
1347229,0xecb6a3e0e99700b32bb03ba14727d99fe8e538cf,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,2020-08-05,0.0,225,Ygov.finance: YFI Token,2020-08-10,False,True,0xecb6a3e0e99700b32bb03ba14727d99fe8e538cf-Ygov.finance: YFI Token
1347246,0xca7c767854b1e7305de07247ab85e30543d1d9c9,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,2020-07-20,0.0,225,Ygov.finance: YFI Token,2020-08-10,False,True,0xca7c767854b1e7305de07247ab85e30543d1d9c9-Ygov.finance: YFI Token
1347294,0xfb626333099a91ab677bcd5e9c71bc4dbe0238a8,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,2020-07-26,0.0,225,Ygov.finance: YFI Token,2020-08-10,False,True,0xfb626333099a91ab677bcd5e9c71bc4dbe0238a8-Ygov.finance: YFI Token
1347326,0x7ac34681f6aaeb691e150c43ee494177c0e2c183,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,2020-07-19,0.0,225,Ygov.finance: YFI Token,2020-08-10,False,True,0x7ac34681f6aaeb691e150c43ee494177c0e2c183-Ygov.finance: YFI Token
1347348,0xcfc50541c3deaf725ce738ef87ace2ad778ba0c5,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,2020-07-19,0.0,225,Ygov.finance: YFI Token,2020-08-10,False,True,0xcfc50541c3deaf725ce738ef87ace2ad778ba0c5-Ygov.finance: YFI Token
1347352,0xf39d30fa570db7940e5b3a3e42694665a1449e4b,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,2020-07-19,0.0,225,Ygov.finance: YFI Token,2020-08-10,False,True,0xf39d30fa570db7940e5b3a3e42694665a1449e4b-Ygov.finance: YFI Token
1347383,0xe2e4f2a725e42d0f0ef6291f46c430f963482001,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,2020-07-22,0.0,225,Ygov.finance: YFI Token,2020-08-10,False,True,0xe2e4f2a725e42d0f0ef6291f46c430f963482001-Ygov.finance: YFI Token
1347396,0x22fa8cc33a42320385cbd3690ed60a021891cb32,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,2020-07-25,0.0,225,Ygov.finance: YFI Token,2020-08-10,False,True,0x22fa8cc33a42320385cbd3690ed60a021891cb32-Ygov.finance: YFI Token
1347551,0xcfc50541c3deaf725ce738ef87ace2ad778ba0c5,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,2020-07-20,0.0,225,Ygov.finance: YFI Token,2020-08-10,False,True,0xcfc50541c3deaf725ce738ef87ace2ad778ba0c5-Ygov.finance: YFI Token
1347632,0xa0f75491720835b36edc92d06ddc468d201e9b73,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,2020-07-19,0.0,225,Ygov.finance: YFI Token,2020-08-10,False,True,0xa0f75491720835b36edc92d06ddc468d201e9b73-Ygov.finance: YFI Token
1347633,0x024bcbcaad82e67f721799e259ca60bc7d363419,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,2020-07-19,0.0,225,Ygov.finance: YFI Token,2020-08-10,False,True,0x024bcbcaad82e67f721799e259ca60bc7d363419-Ygov.finance: YFI Token
1347692,0xecb6a3e0e99700b32bb03ba14727d99fe8e538cf,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,2020-07-24,0.0,225,Ygov.finance: YFI Token,2020-08-10,False,True,0xecb6a3e0e99700b32bb03ba14727d99fe8e538cf-Ygov.finance: YFI Token
1347703,0xf39d30fa570db7940e5b3a3e42694665a1449e4b,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,2020-07-20,0.0,225,Ygov.finance: YFI Token,2020-08-10,False,True,0xf39d30fa570db7940e5b3a3e42694665a1449e4b-Ygov.finance: YFI Token
1347706,0x57757e3d981446d585af0d9ae4d7df6d64647806,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,2020-07-22,0.0,225,Ygov.finance: YFI Token,2020-08-10,False,True,0x57757e3d981446d585af0d9ae4d7df6d64647806-Ygov.finance: YFI Token
1347707,0xf39d30fa570db7940e5b3a3e42694665a1449e4b,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,2020-07-22,0.0,225,Ygov.finance: YFI Token,2020-08-10,False,True,0xf39d30fa570db7940e5b3a3e42694665a1449e4b-Ygov.finance: YFI Token
1347833,0x22fa8cc33a42320385cbd3690ed60a021891cb32,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,2020-07-20,0.0,225,Ygov.finance: YFI Token,2020-08-10,False,True,0x22fa8cc33a42320385cbd3690ed60a021891cb32-Ygov.finance: YFI Token
1347886,0x7c4a909da802a74d83a381b157fe773ff3a67177,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,2020-07-26,0.0,225,Ygov.finance: YFI Token,2020-08-10,False,True,0x7c4a909da802a74d83a381b157fe773ff3a67177-Ygov.finance: YFI Token
1347908,0x894454ecc032d50e12c5a9164b79c39a237df8c6,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,2020-07-23,0.0,225,Ygov.finance: YFI Token,2020-08-10,False,True,0x894454ecc032d50e12c5a9164b79c39a237df8c6-Ygov.finance: YFI Token
1347914,0x024bcbcaad82e67f721799e259ca60bc7d363419,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,2020-07-21,0.0,225,Ygov.finance: YFI Token,2020-08-10,False,True,0x024bcbcaad82e67f721799e259ca60bc7d363419-Ygov.finance: YFI Token
1347993,0x8761e0dd63d14cf566acf4b730f3540f164b6b56,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,2020-07-25,0.0,225,Ygov.finance: YFI Token,2020-08-10,False,True,0x8761e0dd63d14cf566acf4b730f3540f164b6b56-Ygov.finance: YFI Token
1347999,0xa0f75491720835b36edc92d06ddc468d201e9b73,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,2020-07-20,0.0,225,Ygov.finance: YFI Token,2020-08-10,False,True,0xa0f75491720835b36edc92d06ddc468d201e9b73-Ygov.finance: YFI Token
1348029,0xf39d30fa570db7940e5b3a3e42694665a1449e4b,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,2020-07-21,0.0,225,Ygov.finance: YFI Token,2020-08-10,False,True,0xf39d30fa570db7940e5b3a3e42694665a1449e4b-Ygov.finance: YFI Token
1348168,0xa4517a2b21f85f6a6a63601cea7fa4e34da92856,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,2020-07-24,0.0,225,Ygov.finance: YFI Token,2020-08-10,False,True,0xa4517a2b21f85f6a6a63601cea7fa4e34da92856-Ygov.finance: YFI Token
1348169,0x0d24f692c05036602076b3f51242b5a34c55ee38,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,2020-07-24,0.0,225,Ygov.finance: YFI Token,2020-08-10,False,True,0x0d24f692c05036602076b3f51242b5a34c55ee38-Ygov.finance: YFI Token
1348257,0x22fa8cc33a42320385cbd3690ed60a021891cb32,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,2020-07-19,0.0,225,Ygov.finance: YFI Token,2020-08-10,False,True,0x22fa8cc33a42320385cbd3690ed60a021891cb32-Ygov.finance: YFI Token
1348258,0xb7f1498898d70685851b5331f64bf26215f00415,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,2020-07-19,0.0,225,Ygov.finance: YFI Token,2020-08-10,False,True,0xb7f1498898d70685851b5331f64bf26215f00415-Ygov.finance: YFI Token
1348259,0x024bcbcaad82e67f721799e259ca60bc7d363419,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,2020-07-19,0.0,225,Ygov.finance: YFI Token,2020-08-10,False,True,0x024bcbcaad82e67f721799e259ca60bc7d363419-Ygov.finance: YFI Token
1348277,0x10b26700b0a2d3f5ef12fa250aba818ee3b43bf4,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,2020-07-20,0.0,225,Ygov.finance: YFI Token,2020-08-10,False,True,0x10b26700b0a2d3f5ef12fa250aba818ee3b43bf4-Ygov.finance: YFI Token
1348279,0xb7f1498898d70685851b5331f64bf26215f00415,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,2020-07-23,0.0,225,Ygov.finance: YFI Token,2020-08-10,False,True,0xb7f1498898d70685851b5331f64bf26215f00415-Ygov.finance: YFI Token
1348300,0xe8e8f41ed29e46f34e206d7d2a7d6f735a3ff2cb,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,2020-07-20,0.0,225,Ygov.finance: YFI Token,2020-08-10,False,True,0xe8e8f41ed29e46f34e206d7d2a7d6f735a3ff2cb-Ygov.finance: YFI Token
1348321,0x4ef2ab73ef2214ebeba6f087a8dcf89731504301,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,2020-07-29,0.0,225,Ygov.finance: YFI Token,2020-08-10,False,True,0x4ef2ab73ef2214ebeba6f087a8dcf89731504301-Ygov.finance: YFI Token
1348335,0x46499275b5c4d67dfa46b92d89aada3158ea392e,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,2020-08-02,0.0,225,Ygov.finance: YFI Token,2020-08-10,False,True,0x46499275b5c4d67dfa46b92d89aada3158ea392e-Ygov.finance: YFI Token
1348468,0x024bcbcaad82e67f721799e259ca60bc7d363419,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,2020-08-03,0.0,225,Ygov.finance: YFI Token,2020-08-10,False,True,0x024bcbcaad82e67f721799e259ca60bc7d363419-Ygov.finance: YFI Token
1348469,0x024bcbcaad82e67f721799e259ca60bc7d363419,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,2020-08-03,0.0,225,Ygov.finance: YFI Token,2020-08-10,False,True,0x024bcbcaad82e67f721799e259ca60bc7d363419-Ygov.finance: YFI Token
1348513,0xcfc50541c3deaf725ce738ef87ace2ad778ba0c5,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,2020-08-02,0.0,225,Ygov.finance: YFI Token,2020-08-10,False,True,0xcfc50541c3deaf725ce738ef87ace2ad778ba0c5-Ygov.finance: YFI Token
1348546,0xf39d30fa570db7940e5b3a3e42694665a1449e4b,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,2020-07-19,0.0,225,Ygov.finance: YFI Token,2020-08-10,False,True,0xf39d30fa570db7940e5b3a3e42694665a1449e4b-Ygov.finance: YFI Token
1348598,0x0b30483057d6a7798378edba707d625116ed7640,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,2020-07-25,0.0,225,Ygov.finance: YFI Token,2020-08-10,False,True,0x0b30483057d6a7798378edba707d625116ed7640-Ygov.finance: YFI Token
1348605,0x0b30483057d6a7798378edba707d625116ed7640,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,2020-07-25,0.0,225,Ygov.finance: YFI Token,2020-08-10,False,True,0x0b30483057d6a7798378edba707d625116ed7640-Ygov.finance: YFI Token
1348614,0xee5c571813227fe7bbeef6fdd9f3e0592aca4799,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,2020-07-29,0.0,225,Ygov.finance: YFI Token,2020-08-10,False,True,0xee5c571813227fe7bbeef6fdd9f3e0592aca4799-Ygov.finance: YFI Token
1348642,0x7ac34681f6aaeb691e150c43ee494177c0e2c183,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,2020-07-24,0.0,225,Ygov.finance: YFI Token,2020-08-10,False,True,0x7ac34681f6aaeb691e150c43ee494177c0e2c183-Ygov.finance: YFI Token
1348733,0xcfc50541c3deaf725ce738ef87ace2ad778ba0c5,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,2020-07-25,0.0,225,Ygov.finance: YFI Token,2020-08-10,False,True,0xcfc50541c3deaf725ce738ef87ace2ad778ba0c5-Ygov.finance: YFI Token
1348844,0xf39d30fa570db7940e5b3a3e42694665a1449e4b,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,2020-07-19,0.0,225,Ygov.finance: YFI Token,2020-08-10,False,True,0xf39d30fa570db7940e5b3a3e42694665a1449e4b-Ygov.finance: YFI Token
1348889,0xecb6a3e0e99700b32bb03ba14727d99fe8e538cf,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,2020-07-26,0.0,225,Ygov.finance: YFI Token,2020-08-10,False,True,0xecb6a3e0e99700b32bb03ba14727d99fe8e538cf-Ygov.finance: YFI Token
1348928,0xf39d30fa570db7940e5b3a3e42694665a1449e4b,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,2020-07-22,0.0,225,Ygov.finance: YFI Token,2020-08-10,False,True,0xf39d30fa570db7940e5b3a3e42694665a1449e4b-Ygov.finance: YFI Token
1348959,0xca7c767854b1e7305de07247ab85e30543d1d9c9,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,2020-07-21,0.0,225,Ygov.finance: YFI Token,2020-08-10,False,True,0xca7c767854b1e7305de07247ab85e30543d1d9c9-Ygov.finance: YFI Token
1349043,0xf39d30fa570db7940e5b3a3e42694665a1449e4b,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,2020-07-22,0.0,225,Ygov.finance: YFI Token,2020-08-10,False,True,0xf39d30fa570db7940e5b3a3e42694665a1449e4b-Ygov.finance: YFI Token
1349044,0x0c5a2c72c009252f0e7312f5a1ab87de02be6fbe,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,2020-07-22,0.0,225,Ygov.finance: YFI Token,2020-08-10,False,True,0x0c5a2c72c009252f0e7312f5a1ab87de02be6fbe-Ygov.finance: YFI Token
1349062,0xf39d30fa570db7940e5b3a3e42694665a1449e4b,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,2020-07-20,0.0,225,Ygov.finance: YFI Token,2020-08-10,False,True,0xf39d30fa570db7940e5b3a3e42694665a1449e4b-Ygov.finance: YFI Token
1349089,0x0970511d700711eae847633440ffe76aa15abb00,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,2020-08-01,0.0,225,Ygov.finance: YFI Token,2020-08-10,False,True,0x0970511d700711eae847633440ffe76aa15abb00-Ygov.finance: YFI Token
1349105,0xca7c767854b1e7305de07247ab85e30543d1d9c9,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,2020-07-18,0.0,225,Ygov.finance: YFI Token,2020-08-10,False,True,0xca7c767854b1e7305de07247ab85e30543d1d9c9-Ygov.finance: YFI Token
1349116,0x22fa8cc33a42320385cbd3690ed60a021891cb32,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,2020-07-18,0.0,225,Ygov.finance: YFI Token,2020-08-10,False,True,0x22fa8cc33a42320385cbd3690ed60a021891cb32-Ygov.finance: YFI Token
1349167,0x894454ecc032d50e12c5a9164b79c39a237df8c6,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,2020-07-20,0.0,225,Ygov.finance: YFI Token,2020-08-10,False,True,0x894454ecc032d50e12c5a9164b79c39a237df8c6-Ygov.finance: YFI Token
1349213,0xd5cdf14af5477adceabca130caaafd6feca56937,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,2020-07-23,0.0,225,Ygov.finance: YFI Token,2020-08-10,False,True,0xd5cdf14af5477adceabca130caaafd6feca56937-Ygov.finance: YFI Token
1349225,0xa0f75491720835b36edc92d06ddc468d201e9b73,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,2020-07-24,0.0,225,Ygov.finance: YFI Token,2020-08-10,False,True,0xa0f75491720835b36edc92d06ddc468d201e9b73-Ygov.finance: YFI Token
1349322,0x0b30483057d6a7798378edba707d625116ed7640,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,2020-07-25,0.0,225,Ygov.finance: YFI Token,2020-08-10,False,True,0x0b30483057d6a7798378edba707d625116ed7640-Ygov.finance: YFI Token
1349412,0xf39d30fa570db7940e5b3a3e42694665a1449e4b,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,2020-07-19,0.0,225,Ygov.finance: YFI Token,2020-08-10,False,True,0xf39d30fa570db7940e5b3a3e42694665a1449e4b-Ygov.finance: YFI Token
1349465,0x49a2dcc237a65cc1f412ed47e0594602f6141936,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,2020-07-24,0.0,225,Ygov.finance: YFI Token,2020-08-10,False,True,0x49a2dcc237a65cc1f412ed47e0594602f6141936-Ygov.finance: YFI Token
1349498,0xcfc50541c3deaf725ce738ef87ace2ad778ba0c5,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,2020-07-22,0.0,225,Ygov.finance: YFI Token,2020-08-10,False,True,0xcfc50541c3deaf725ce738ef87ace2ad778ba0c5-Ygov.finance: YFI Token
1349638,0xf39d30fa570db7940e5b3a3e42694665a1449e4b,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,2020-07-20,0.0,225,Ygov.finance: YFI Token,2020-08-10,False,True,0xf39d30fa570db7940e5b3a3e42694665a1449e4b-Ygov.finance: YFI Token
1349739,0xcfc50541c3deaf725ce738ef87ace2ad778ba0c5,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,2020-07-19,0.0,225,Ygov.finance: YFI Token,2020-08-10,False,True,0xcfc50541c3deaf725ce738ef87ace2ad778ba0c5-Ygov.finance: YFI Token
1349740,0x70265950add51748aa041de8accce6747507adce,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,2020-07-19,0.0,225,Ygov.finance: YFI Token,2020-08-10,False,True,0x70265950add51748aa041de8accce6747507adce-Ygov.finance: YFI Token
1349741,0xf39d30fa570db7940e5b3a3e42694665a1449e4b,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,2020-07-19,0.0,225,Ygov.finance: YFI Token,2020-08-10,False,True,0xf39d30fa570db7940e5b3a3e42694665a1449e4b-Ygov.finance: YFI Token
